id,motion_level,concept,prompt,prompt_len
461,high,physics - fluid dynamics,"A high-speed video of a drink being stirred with a spoon, capturing the swirling motion of the liquid.",102
466,high,physics - fluid dynamics,"A high-speed video of a syringe injecting liquid into a vial, capturing the detailed flow and bubbles.",102
468,high,physics - fluid dynamics,A high-speed video of a splash created by a stone thrown into a pond.,69
471,high,physics - fluid dynamics,A mesmerizing video of a whirlpool forming in a sink as water drains.,69
474,high,physics - fluid dynamics,"A video of a river rapid, showing the turbulent and fast-moving water.",70
475,high,physics - fluid dynamics,"A high-speed video of a water-filled balloon being sliced open, with water flowing out in a controlled manner.",110
477,high,physics - fluid dynamics,"A close-up of a beverage can being opened, capturing the detailed spray and bubbles.",84
479,high,physics - fluid dynamics,A high-speed video of a liquid droplet forming and falling from a faucet.,73
491,high,scene,"Flying cars zoom through a futuristic cityscape, maneuvering around towering skyscrapers while lights flicker on the buildings, creating a constantly shifting pattern.",167
526,high,scene,"A futuristic spaceport hums with activity as ships of various shapes and sizes take off and land on multiple platforms, their engines glowing with vibrant colors.",162
555,high,unusual subject,"A group of robots with mechanical limbs and sensors engage in a playful snowball fight, their precise throws and dodges showing unexpected agility as snowballs fly across the snowy field.",187
556,high,unusual activity,"Characters from famous paintings step out of their frames into a snowy world, throwing snowballs at each other.",111
557,high,human - activity,"A couple runs through a sudden downpour, laughing and splashing in puddles as they try to find shelter.",103
560,high,"animal,unusual activity","A squirrel wearing a tiny aviator hat and goggles, piloting a miniature airplane through a park.",96
569,high,"animal,unusual activity","A bear wearing a superhero cape, flying through the sky over a bustling city.",77
575,high,"animal,unusual activity","A butterfly in a tiny race car, speeding around a track made of flowers.",72
577,high,"animal,unusual activity","A fox wearing a pirate hat and eyepatch, steering a ship through a stormy sea.",78
578,high,"animal,unusual activity","A turtle in a racing suit, riding a skateboard down a steep hill.",65
580,high,"animal,unusual activity","A kangaroo wearing boxing gloves, sparring with a punching bag in a gym.",72
590,high,"human - activity,unusual activity",A person riding a bicycle on a tightrope strung between two skyscrapers.,72
591,high,"human - activity,unusual activity","A person swimming through the air as if it were water, surrounded by floating fish.",83
605,high,"human - activity,unusual activity","A person flying a kite made of fire, with the tail leaving a trail of sparks.",77
610,high,"human - activity,unusual activity","A person juggling planets in a cosmic circus, each planet glowing brightly.",75
612,high,"human - activity,unusual activity",A person painting graffiti on the side of a flying spaceship.,61
617,high,"human - activity,unusual activity","A person playing an electric guitar made of lightning, with thunderous sound waves.",83
627,high,"human - activity,unusual activity",A person running on a treadmill that moves through different dimensions.,72
629,high,"human - activity,unusual activity","A person diving into a pool of liquid crystal, creating ripples of light.",73
633,high,"human - activity,unusual activity",A person skydiving from a hot air balloon into a sea of clouds.,63
636,high,"human - activity,unusual activity","A person playing a drum set made of thunderclouds, with each beat creating a lightning flash.",93
641,high,"scene,unusual activity,unusual activity",Pouring milk into a bowl that transitions to a vast ocean with a whale being thrown around by the giant waves.,110
642,high,physics - collision,"A dog colliding with a cat while chasing it, both tumbling over.",64
643,high,physics - collision,"A person on a Segway colliding with a pedestrian, both falling over.",68
645,high,physics - collision,"A cyclist colliding with a stop sign, the sign bending slightly.",64
646,high,physics - collision,"Two RC planes colliding mid-air, pieces scattering in all directions.",69
647,high,physics - collision,"A person walking while texting and colliding with a lamppost, the phone falling.",80
648,high,physics - collision,"A skateboarder colliding with a curb, the board flipping up.",60
650,high,physics - collision,"Two people on roller skates colliding in a rink, both spinning out of control.",78
651,high,physics - collision,"A person on a hoverboard colliding with a wall, the board stopping abruptly.",76
652,high,physics - collision,"Two boats colliding in a marina, the sound of wood and metal clashing.",70
653,high,physics - collision,"A person on a scooter colliding with a park bench, the scooter tipping over.",76
654,high,physics - acceleration,"A skateboarder accelerating down a steep hill, gaining speed rapidly.",69
655,high,physics - acceleration,A cheetah accelerating to full speed while chasing its prey.,60
656,high,physics - acceleration,"A high-speed train accelerating out of a station, quickly reaching top speed.",77
657,high,physics - acceleration,"A spaceship entering hyperdrive, stars streaking past as it accelerates.",72
658,high,physics - acceleration,"A drag racer accelerating down the track, flames shooting from the exhaust.",75
659,high,physics - acceleration,"A sports car accelerating rapidly on an open highway, the engine roaring.",73
660,high,physics - acceleration,"A jet fighter accelerating off an aircraft carrier deck, quickly gaining altitude.",82
661,high,physics - acceleration,"A speedboat accelerating across a lake, creating a large wake.",62
662,high,physics - acceleration,A skier accelerating down a steep slope during a downhill race.,63
663,high,physics - acceleration,"A drone accelerating through a forest, weaving between trees.",61
664,high,physics - acceleration,A horse accelerating out of the starting gate at the beginning of a race.,73
665,high,physics - acceleration,"A dog accelerating after being let off the leash, running towards a ball.",73
666,high,physics - acceleration,A helicopter accelerating as it lifts off from the ground.,58
668,high,physics - acceleration,"A jet ski accelerating across the water, creating large splashes.",65
669,high,physics - acceleration,A racehorse accelerating on the final stretch towards the finish line.,70
671,high,physics - acceleration,"A base jumper accelerating after leaping off a cliff, free-falling.",67
672,high,physics - acceleration,A cyclist accelerating out of the saddle during a steep climb.,62
673,high,physics - acceleration,"A longboarder accelerating downhill, carving through turns.",59
674,high,physics - acceleration,A skydiver accelerating during free fall before deploying the parachute.,72
675,high,physics - acceleration,A motocross bike accelerating out of a tight turn on a dirt track.,66
677,high,physics - acceleration,"A snowboarder accelerating down a powdery slope, weaving between trees.",71
678,high,physics - acceleration,A race car accelerating through a chicane on a race track.,58
679,high,physics - acceleration,"A surfer accelerating on a wave, carving through the water.",59
692,high,unusual activity,Macro shot of a man wearing an antique diving helmet with dark glass and a jetpack walking on lava as a dragon flies behind him in the sky. Realistic style,155
695,high,human - activity,"Tracking camera, FPV shot, A scooter zooms through the aisles of a crowded supermarket, skidding around corners, and leaping over shopping carts. The scene blends everyday chaos with high-speed action, creating a thrilling, grocery-store race. Hyperspeed, dynamic motion.",271
700,high,physics - deformation,"A rubber band being stretched to its maximum length and then released, snapping back to its original shape.",107
701,high,physics - deformation,"A metal spring being compressed by a heavy weight, then released and bouncing back to its original form.",104
704,high,physics - deformation,"A trampoline surface bending under the weight of a person jumping on it, then springing back up as they jump off.",113
706,high,physics - deformation,"A piece of elastic fabric being pulled and stretched, then returning to its original size when the tension is released.",119
707,high,physics - deformation,A plastic ruler being bent until it snaps back into its straight form when released.,84
729,high,physics - thermodynamics,"A droplet of water falling onto a hot surface, instantly evaporating into a wisp of steam that swirls gracefully into the air.",126
735,high,physics - thermodynamics,"A high-speed capture of a water balloon being popped, showing the liquid form maintaining its shape momentarily before cascading down.",134
756,high,"camera motion,human - activity","A low-angle shot of a dancer leaping gracefully into the air, making their movement appear even more dynamic and powerful.",122
759,high,"camera motion,human - activity","A first-person view of a cyclist riding through a bustling city street, weaving through traffic and pedestrians.",112
761,high,"camera motion,human - activity","A first-person view of a surfer paddling out and catching a wave, the water rushing around them as they ride.",109
780,high,"camera motion,scene","An aerial shot of a bustling city intersection at rush hour, capturing the organized chaos of cars and pedestrians.",115
792,high,"camera motion,scene","A truck left alongside a train moving through the countryside, matching its speed and revealing the changing landscape.",119
800,high,"camera motion,scene","A truck right through a bustling street market, passing stalls filled with vibrant fruits, vegetables, and spices.",114
802,high,"camera motion,scene","A truck right through a tranquil garden, moving past blooming flowers, trees, and a small fountain.",99
829,high,"camera motion,scene","A push-in through a dense crowd at a festival, moving towards a performer on stage who is captivating the audience.",115
844,high,"camera motion,scene","A handheld shot following a child running through a field of tall grass, capturing the spontaneity and playfulness of their movements.",134
848,high,"camera motion,scene","A handheld camera following a dog running through a park, bouncing and tilting as it captures the dog's joyful exploration.",123
849,high,"camera motion,human - activity","A tracking shot following a skateboarder performing tricks down a city street, keeping pace with their fluid movements.",119
850,high,"camera motion,scene","A tracking shot of a car driving along a winding mountain road, with the landscape changing around it.",102
852,high,"camera motion,human - activity","A tracking shot of a group of cyclists racing through a forest trail, with trees and foliage rushing by.",104
853,high,"camera motion,scene","A tracking shot of a train traveling through a snowy landscape, the scenery changing rapidly as it moves forward.",113
857,high,unusual subject,"A rapid tracking shot of small, big-eared gremlins on a wooden rollercoaster in a midcentury theme park. The gremlins have thin, scaly green skin with brown and black flecks. They stretch their spindly arms up and scream with wide, toothy grins as they race down a steep drop. The rollercoaster's honey-brown wooden tracks contrast with the bright, neon theme park colors. In the background, the ocean glimmers, its waves crashing against the shore, capturing the nostalgia of 1980s horror movies.",497
858,high,unusual activity,"Tracking shot. Cinematic scene. A 19th century scuba diver runs down a busy street in New York City. The light is natural and warm, glinting off of the diver's suit. The diver's suit is burnished and old, held together with rusted bolts. The diver's helmet is round, with a black round glass porthole in the front. All around the diver, people walk down the street in period specific attire, such as large corset dresses with sweeping skirts, tailored suits, and top hats. The scene should feel joyful and amusing, heightening the thrill of the running diver.",559
859,high,"unusual subject,camera motion","Camera tracking shot. A gigantic flying monster flies through midcentury new york city skyscrapers breathing and spewing fire from its open mouth. The light is overly-saturated and intense, making the monster glow with intensity. The monster darts through the sky, shooting enormous flames from its open mouth that engulf the entire scene. the flames are huge and are directed at buildings an the ground. The monster has the face of a dragon, the claws of an eagle, and huge leathery wings that are frayed and scarred. The footage should feel cinematic and premium, like an action movie. The scene should convey a fast-paced action and thrill.",643
862,high,"unusual subject,camera motion","Over the shoulder camera shot. A huge lizard creature sits in a midcentury orange swivel chair. The light is dim and volumetric, casting an eerie glow across the scene. The creature uses its arms to maniacally push buttons on a gigantic control panel. Above the control panel is a panoramic window looking out and down on 1940s new york city. The room should invoke midcentury science fiction aesthetics, like rusty orange colors, bright flashing control buttons, and space-age flair. As the creature continues to quickly push buttons, the New York City scene out of the window moves closer, as though the creature is in a gigantic robot stomping through the city. The scene should give the feeling of frantic action, highlighting the intensity of piloting a giant robot. The scene should take inspiration from midcentury japanese monster films.",845
867,high,scene,"Slow-motion fiery volcanic landscape, with lava spewing out of craters. the camera flies through the lava and lava splatters onto the lens. The lighting is cinematic and moody. The color grade is cinematic, dramatic, and high-contrast.",235
873,high,unusual activity,vintage rocket man with a black glass face shield on a spaceship flying through a blood vessel with large red blood cells,121
879,high,human - activity,"Tracking camera, FPV shot, A scooter zooms through the aisles of a crowded supermarket, skidding around corners, and leaping over shopping carts. The scene blends everyday chaos with high-speed action, creating a thrilling, grocery-store race. Hyperspeed, dynamic motion.",271
